ATTBE,ATTEN,AUAGE,AUKEY,AUKNL,AUKNS,AUPIR,AUSAA,AUSAU,DISPO,EINHE,ETTBE,ETTEN,FGKEY,JTP,KEYLK,KEYLE,KEYLF,LUPDN,LUPDT,LUPDV,MENGE,ORTFR,ORTTO,STTBE,STTEN,UAZAK,UAZPL,XAU,ZINFO,DIB,PLKEY,AUDAT,AUABF,ATT20,RELFK,CINFO,FDAEN,FLAGS,MITAR,MAD,STLIK,PKART,PKL,PKLAS,PKLEA,PKNAM,PLE,EINH2,EINH3,EINH4,MENG2,MENG3,MENG4
1.2.2024 10:09 AM,,PTM,768087096,571281,571319,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,31,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,GMS,768087097,571281,571327,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,30,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,GMS,768087098,571281,571334,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,79,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,12,,,,GH  ,,,,,,,,,,,,101,
1.2.2024 10:09 AM,,PTM,768087099,571281,571340,,75,,MAUSGEP,,1.2.2024 10:09 AM,1.2.2024 10:19 AM,0,TRANS,,3641560467,,68,1.2.2024 10:09 AM,LOADCALC,6,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,10,,,,GH  ,,,,,,,,,,,,66,
1.2.2024 10:09 AM,,GMS,768087100,571281,571363,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,73,1.2.2024 10:09 AM,lvapps7;1704186567832,4,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,5,,,,GH  ,,,,,,,,,,,,75,
1.2.2024 10:09 AM,,GMS,768087101,571281,571369,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,51,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,90,
1.2.2024 10:09 AM,,GMS,768087102,571281,571373,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,30,1.2.2024 10:09 AM,lvapps7;1704186567832,2,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,PTM,768087103,571281,571376,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641560467,,66,1.2.2024 10:09 AM,lvapps7;1704186567832,1,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,84,
1.2.2024 10:09 AM,,PTM,768087104,571281,571378,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641559302,,43,1.2.2024 10:09 AM,lvapps7;1704186567832,6,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,51,
1.2.2024 10:09 AM,,GMS,768087105,571281,571380,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641559302,,31,1.2.2024 10:09 AM,lvapps7;1704186567832,6,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:09 AM,,PTM,768087106,571281,571383,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641559302,,75,1.2.2024 10:09 AM,lvapps7;1704186567832,7,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,98,
1.2.2024 10:09 AM,,PTM,768087107,571281,571388,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641559302,,59,1.2.2024 10:09 AM,lvapps7;1704186567832,7,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,5,,,,GH  ,,,,,,,,,,,,51,
,,STAT,768007894,571533,,M,20,20,PND-ANK,BAG,1.2.2024 12:44 PM,1.2.2024 1:29 PM,,PNDAN,,3641593029,1148295973,53,1.2.2024 10:57 AM,airport.de,39,GN,BN,1.2.2024 12:27 PM,1.2.2024 1:12 PM,2,10,1.2.2024 10:57 AM,,I,,1.2.2024 12:20 PM,,1.1.2024 6:29 PM,,LH 2303 20240102122000L,,,S,,,T09,,,,,,BAG,,,10,,
1.2.2024 7:32 AM,,GMS,768007897,571419,,,75,,MAUSGEP,,1.2.2024 7:37 AM,1.2.2024 7:47 AM,,TSUMME,,3641462078,0,41,1.2.2024 7:32 AM,lvapps7;1704177167433,77,,T09,1.2.2024 7:30 AM,1.2.2024 7:40 AM,1,,1.2.2024 7:32 AM,,G,,1.2.2024 7:30 AM,,,,230,,,21,GH  ,,,,,,,,,,,,,
1.2.2024 10:27 AM,,GMS,768007899,571368,571812,,75,,MAUSGEP,,1.2.2024 10:22 AM,1.2.2024 10:32 AM,0,TRANS,,3641568662,,31,1.2.2024 10:27 AM,lvapps7;1704187661135,2,217B,T04,1.2.2024 10:25 AM,1.2.2024 10:35 AM,1,,1.2.2024 10:27 AM,,2,,1.2.2024 10:25 AM,,1.1.2024 1:55 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,PTM,768007900,571368,,,60,,MAUSGEP,,1.2.2024 10:22 AM,1.2.2024 10:32 AM,,SUMME,,3641580875,1148269085,46,1.2.2024 10:35 AM,LoadCalc,117,,T04,1.2.2024 10:25 AM,1.2.2024 10:35 AM,1,,1.2.2024 10:35 AM,,2,,1.2.2024 10:25 AM,,,,277,,,16,GH  ,,,,,,,,,,,,,114
1.2.2024 10:27 AM,,GMS,768007901,571368,,,75,,MAUSGEP,,1.2.2024 10:27 AM,1.2.2024 10:32 AM,,TSUMME,,3641580875,0,46,1.2.2024 10:35 AM,LoadCalc,117,,T04,1.2.2024 10:25 AM,1.2.2024 10:35 AM,1,,1.2.2024 10:35 AM,,2,,1.2.2024 10:25 AM,,,,277,,,16,GH  ,,,,,,,,,,,,114,114
1.2.2024 7:42 AM,1.2.2024 8:34 AM,STAT,768007906,571324,,M,80,20,PND-ANK,BAG,1.2.2024 7:39 AM,1.2.2024 8:27 AM,,PNDAN,,3641462552,1148268273,38,1.2.2024 8:34 AM,PND-ANK,6,2N,BN,1.2.2024 7:42 AM,1.2.2024 8:27 AM,2,10,1.2.2024 8:34 AM,,I,,1.2.2024 7:35 AM,,1.1.2024 6:29 PM,,LH 1647 20240102073500L,N,,S,,,T06,,,,,,BAG,,,10,5,
,,STAT,768007910,571408,,M,50,20,PND-ANK,BAG,1.2.2024 11:07 AM,1.2.2024 11:59 AM,,PNDAN,,3641644670,1148294693,55,1.2.2024 10:53 AM,PND-ANK,17,GN,BN,1.2.2024 11:17 AM,1.2.2024 12:02 PM,2,10,1.2.2024 10:53 AM,,I,,1.2.2024 11:10 AM,,1.1.2024 6:29 PM,,LH 1931 20240102111000L,,,S,,,T07,,,,,,BAG,,,10,,
1.2.2024 8:28 AM,,DCS,768007911,571883,571369,,75,,MAUSGEP,,1.2.2024 8:16 AM,1.2.2024 8:26 AM,0,TRANS,,,,33,1.2.2024 8:28 AM,lvapps7;1704180495501,0,318B,T11,1.2.2024 8:10 AM,1.2.2024 8:20 AM,1,,1.2.2024 8:28 AM,,G,,1.2.2024 8:10 AM,,1.1.2024 1:59 AM,,7,,,,SPL ,,,,,,,,,,,,1,
,,PTM,768007912,571883,,,60,,MAUSGEP,,1.2.2024 8:16 AM,1.2.2024 8:26 AM,,SUMME,,3641461854,1148266434,35,1.2.2024 8:36 AM,LoadCalc,30,,T11,1.2.2024 8:10 AM,1.2.2024 8:20 AM,1,,1.2.2024 8:36 AM,,G,,1.2.2024 8:10 AM,,,,122,,,21,SPL ,,,,,,,,,,,,,18
1.2.2024 8:32 AM,,GMS,768007913,571883,,,70,,MAUSGEP,,1.2.2024 8:16 AM,1.2.2024 8:26 AM,,TSUMME,,3641472420,0,39,1.2.2024 9:32 AM,AUGEN;1704184330781,30,,T11,1.2.2024 8:10 AM,1.2.2024 8:20 AM,1,,1.2.2024 9:32 AM,,G,,1.2.2024 8:10 AM,,,,122,,,21,SPL ,,,,,,,,,,,,16,17
,,GMS,768007915,571489,571369,,60,,MAUSGEP,,1.2.2024 10:59 AM,1.2.2024 11:09 AM,0,TRANS,,3641598741,,71,1.2.2024 10:56 AM,LOADCALC,1,233 ,T06,1.2.2024 10:50 AM,1.2.2024 11:00 AM,1,,1.2.2024 10:56 AM,,2,,1.2.2024 10:50 AM,,1.1.2024 1:59 AM,,10,,,,SPL ,,,,,,,,,,,,118,
,,PTM,768007916,571489,,,60,,MAUSGEP,,1.2.2024 10:59 AM,1.2.2024 11:09 AM,,SUMME,,3641469648,1148287255,27,1.2.2024 10:44 AM,AUGEN;1704188692795,36,,T06,1.2.2024 10:50 AM,1.2.2024 11:00 AM,1,,1.2.2024 10:44 AM,,2,,1.2.2024 10:50 AM,,,,155,,,16,SPL ,,,,,,,,,,,,,
,,PTM,768007917,571489,,,60,,MAUSGEP,,1.2.2024 10:59 AM,1.2.2024 11:09 AM,,TSUMME,,3641598741,0,25,1.2.2024 10:44 AM,AUGEN;1704188692795,36,,T06,1.2.2024 10:50 AM,1.2.2024 11:00 AM,1,,1.2.2024 10:44 AM,,2,,1.2.2024 10:50 AM,,,,155,,,16,SPL ,,,,,,,,,,,,,
1.2.2024 10:56 AM,,STAT,768007918,571489,,M,60,20,PND-ANK,BAG,1.2.2024 10:56 AM,1.2.2024 11:48 AM,,PNDAN,,3641598661,1148293265,36,1.2.2024 11:01 AM,PND-ANK,22,2N,BN,1.2.2024 10:52 AM,1.2.2024 11:37 AM,2,10,1.2.2024 11:01 AM,,I,,1.2.2024 10:45 AM,,1.1.2024 6:29 PM,,LH 2189 20240102104500L,N,,S,,,T06,,,,,,BAG,,,10,,
1.2.2024 9:13 AM,,PTM,768007919,571460,571369,,75,,MAUSGEP,,1.2.2024 9:12 AM,1.2.2024 9:22 AM,0,TRANS,,3641545277,,32,1.2.2024 9:13 AM,lvapps7;1704183202714,4,328 ,T09,1.2.2024 9:10 AM,1.2.2024 9:20 AM,1,,1.2.2024 9:13 AM,,G,,1.2.2024 9:10 AM,,1.1.2024 1:59 AM,,7,,,,GH  ,,,,,,,,,,,,1,
,,PTM,768007920,571460,,,60,,MAUSGEP,,1.2.2024 9:12 AM,1.2.2024 9:22 AM,,SUMME,,3641395951,1148272600,45,1.2.2024 10:25 AM,AUGEN;1704187557024,60,,T09,1.2.2024 9:10 AM,1.2.2024 9:20 AM,1,,1.2.2024 10:25 AM,,G,,1.2.2024 9:10 AM,,,,202,,,15,GH  ,,,,,,,,,,,,,55
1.2.2024 9:13 AM,,PTM,768007921,571460,,,75,,MAUSGEP,,1.2.2024 9:12 AM,1.2.2024 9:22 AM,,TSUMME,,3641545277,0,44,1.2.2024 10:25 AM,AUGEN;1704187557024,60,,T09,1.2.2024 9:10 AM,1.2.2024 9:20 AM,1,,1.2.2024 10:25 AM,,G,,1.2.2024 9:10 AM,,,,202,,,15,GH  ,,,,,,,,,,,,55,55
1.2.2024 9:21 AM,1.2.2024 10:14 AM,STAT,768007922,571460,,M,80,20,PND-ANK,BAG,1.2.2024 9:10 AM,1.2.2024 10:10 AM,,PNDAN,,3641511489,1148278648,46,1.2.2024 10:14 AM,PND-ANK,6,GN,CN,1.2.2024 9:12 AM,1.2.2024 9:57 AM,2,10,1.2.2024 10:14 AM,,I,,1.2.2024 9:05 AM,,1.1.2024 6:29 PM,,LH 2089 20240102090500L,N,,S,,,T08,,,,,,BAG,,,10,6,
,,DCS,768007957,571401,571275,,20,,MAUSGEP,,1.2.2024 3:07 PM,1.2.2024 3:18 PM,0,TRANS,,,,3,1.2.2024,LOADCALC,16,321 ,T07,1.2.2024 2:50 PM,1.2.2024 3:00 PM,1,,1.2.2024,,G,,1.2.2024 2:50 PM,,1.1.2024 2:18 AM,,10,,,,GH  ,,,,,,,,,,,,0,
,,DCS,768007958,571401,,,20,,MAUSGEP,,1.2.2024 3:07 PM,1.2.2024 3:17 PM,,SUMME,,3641657875,,10,1.2.2024 10:59 AM,AUGEN;1704189547787,16,,T07,1.2.2024 2:50 PM,1.2.2024 3:00 PM,1,,1.2.2024 10:59 AM,,G,,1.2.2024 2:50 PM,,,,10,,,,GH  ,,,,,,,,,,,,,
,,DCS,768007959,571401,,,20,,MAUSGEP,,1.2.2024 3:07 PM,1.2.2024 3:18 PM,,TSUMME,,3641657875,,10,1.2.2024 10:59 AM,AUGEN;1704189547787,16,,T07,1.2.2024 2:50 PM,1.2.2024 3:00 PM,1,,1.2.2024 10:59 AM,,G,,1.2.2024 2:50 PM,,,,10,,,,GH  ,,,,,,,,,,,,,
,,STAT,768007960,571401,,M,20,20,PND-ANK,BAG,1.2.2024 3:05 PM,1.2.2024 3:50 PM,,PNDAN,,3641349117,1148285432,14,1.2.2024 10:59 AM,airport.de,25,GN,CN,1.2.2024 2:52 PM,1.2.2024 3:37 PM,2,10,1.2.2024 10:59 AM,,I,,1.2.2024 2:45 PM,,1.1.2024 6:29 PM,,LH 1877 20240102144500L,,,S,,,T07,,,,,,BAG,,,10,,
,,DCS,768007965,571555,571275,,20,,MAUSGEP,,1.2.2024 2:50 PM,1.2.2024 3:01 PM,0,TRANS,,,,3,1.2.2024,LOADCALC,4,325 ,T08,1.2.2024 2:35 PM,1.2.2024 2:45 PM,1,,1.2.2024,,G,,1.2.2024 2:35 PM,,1.1.2024 2:18 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,DCS,768007966,571555,,,20,,MAUSGEP,,1.2.2024 2:50 PM,1.2.2024 3:00 PM,,SUMME,,3641658350,,11,1.2.2024 10:59 AM,AUGEN;1704189551580,4,,T08,1.2.2024 2:35 PM,1.2.2024 2:45 PM,1,,1.2.2024 10:59 AM,,G,,1.2.2024 2:35 PM,,,,7,,,,GH  ,,,,,,,,,,,,,
1.2.2024 9:19 AM,,GMS,768086844,571272,571294,,75,,MAUSGEP,,1.2.2024 9:17 AM,1.2.2024 9:27 AM,0,TRANS,,3641512656,,15,1.2.2024 9:19 AM,lvapps7;1704183554243,1,222A,T05,1.2.2024 9:06 AM,1.2.2024 9:16 AM,1,,1.2.2024 9:19 AM,,2,,1.2.2024 9:06 AM,,1.2.2024 1:13 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 9:19 AM,,PTM,768086849,571272,571334,,75,,MAUSGEP,,1.2.2024 9:17 AM,1.2.2024 9:27 AM,0,TRANS,,,1148255234,56,1.2.2024 9:22 AM,LOADCALC;1704183751908,0,222A,T05,1.2.2024 9:06 AM,1.2.2024 9:16 AM,1,,1.2.2024 9:22 AM,,2,,1.2.2024 9:06 AM,,1.2.2024 1:14 AM,,7,,,,GH  ,,,,,,,,,,,,97,
1.2.2024 9:19 AM,,PTM,768086850,571272,571602,,75,,MAUSGEP,,1.2.2024 9:17 AM,1.2.2024 9:27 AM,0,TRANS,,,1148255234,17,1.2.2024 9:27 AM,LOADCALC,0,222A,T05,1.2.2024 9:06 AM,1.2.2024 9:16 AM,1,,1.2.2024 9:27 AM,,2,,1.2.2024 9:06 AM,,1.2.2024 1:14 AM,,7,,,,GH  ,,,,,,,,,,,,3,
1.2.2024 9:19 AM,,PTM,768086851,571272,571808,,75,,MAUSGEP,,1.2.2024 9:17 AM,1.2.2024 9:27 AM,0,TRANS,,,1148255234,29,1.2.2024 9:25 AM,LOADCALC,0,222A,T05,1.2.2024 9:06 AM,1.2.2024 9:16 AM,1,,1.2.2024 9:25 AM,,2,,1.2.2024 9:06 AM,,1.2.2024 1:14 AM,,7,,,,GH  ,,,,,,,,,,,,19,
1.2.2024 9:19 AM,,PTM,768086852,571272,570815,,75,,MAUSGEP,,1.2.2024 9:17 AM,1.2.2024 9:27 AM,0,TRANS,,,1148255234,61,1.2.2024 9:27 AM,LOADCALC;1704184049887,0,222A,T05,1.2.2024 9:06 AM,1.2.2024 9:16 AM,1,,1.2.2024 9:27 AM,,2,,1.2.2024 9:06 AM,,1.2.2024 1:14 AM,,7,,,,GH  ,,,,,,,,,,,,124,
1.2.2024 10:22 AM,,PTM,768086860,571280,572446,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,38,1.2.2024 10:22 AM,lvapps7;1704187348984,5,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,5,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:22 AM,,GMS,768086861,571280,572447,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,37,1.2.2024 10:22 AM,lvapps7;1704187348984,2,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,5,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:22 AM,,GMS,768086862,571280,572460,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,37,1.2.2024 10:22 AM,lvapps7;1704187348984,7,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:32 AM,,GMS,768087153,571268,571752,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,16,1.2.2024 10:32 AM,lvapps7;1704187935829,2,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:32 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:32 AM,,GMS,768087154,571268,572177,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,23,1.2.2024 10:40 AM,LOADCALC;1704188429767,1,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,16,
,,DCS,768007967,571555,,,20,,MAUSGEP,,1.2.2024 2:50 PM,1.2.2024 3:01 PM,,TSUMME,,3641658350,,11,1.2.2024 10:59 AM,AUGEN;1704189551580,4,,T08,1.2.2024 2:35 PM,1.2.2024 2:45 PM,1,,1.2.2024 10:59 AM,,G,,1.2.2024 2:35 PM,,,,7,,,,GH  ,,,,,,,,,,,,,
1.2.2024 10:32 AM,,PTM,768087155,571268,572374,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,43,1.2.2024 10:40 AM,LOADCALC,4,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,52,
1.2.2024 10:32 AM,,PTM,768087157,571268,571100,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,54,1.2.2024 10:36 AM,LOADCALC;1704188187238,11,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:36 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,10,,,,GH  ,,,,,,,,,,,,65,
1.2.2024 10:32 AM,,PTM,768087156,571268,571096,,75,,MAUSGEP,,1.2.2024 10:30 AM,1.2.2024 10:40 AM,0,TRANS,,3641568337,,43,1.2.2024 10:40 AM,LOADCALC;1704188429796,6,204A,T02,1.2.2024 10:21 AM,1.2.2024 10:31 AM,1,,1.2.2024 10:40 AM,,2,,1.2.2024 10:21 AM,,1.2.2024 3:14 AM,,7,,,,GH  ,,,,,,,,,,,,32,
1.2.2024 10:22 AM,,PTM,768086864,571280,571100,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,66,1.2.2024 10:22 AM,lvapps7;1704187348984,9,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,48,
1.2.2024 10:22 AM,,GMS,768086865,571280,571108,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,65,1.2.2024 10:22 AM,lvapps7;1704187348984,1,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,54,
1.2.2024 10:22 AM,,GMS,768086866,571280,571126,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,49,1.2.2024 10:22 AM,lvapps7;1704187348984,1,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,38,
1.2.2024 10:22 AM,,PTM,768086863,571280,571096,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,52,1.2.2024 10:22 AM,lvapps7;1704187348984,1,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,25,
1.2.2024 10:22 AM,,GMS,768086869,571280,571254,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,37,1.2.2024 10:22 AM,lvapps7;1704187348984,2,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,8,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:22 AM,,GMS,768086870,571280,571279,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,37,1.2.2024 10:22 AM,lvapps7;1704187348984,1,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,0,
1.2.2024 10:22 AM,,GMS,768086876,571280,571360,,75,,MAUSGEP,,1.2.2024 10:01 AM,1.2.2024 10:11 AM,0,TRANS,,3641559256,,41,1.2.2024 10:22 AM,lvapps7;1704187348984,8,247 ,T07,1.2.2024 9:55 AM,1.2.2024 10:05 AM,1,,1.2.2024 10:22 AM,,G,,1.2.2024 9:55 AM,,1.2.2024 1:21 AM,,7,,,,GH  ,,,,,,,,,,,,3,
1.2.2024 9:45 AM,,PTM,768086405,572038,571490,,75,,MAUSGEP,,1.2.2024 9:45 AM,1.2.2024 9:55 AM,0,TRANS,,,1148254822,25,1.2.2024 9:45 AM,lvapps7;1704185149671,0,209B,T01,1.2.2024 9:31 AM,1.2.2024 9:41 AM,1,,1.2.2024 9:45 AM,,2,,1.2.2024 9:31 AM,,1.2.2024,,5,,,,GH  ,,,,,,,,,,,,0,
,,PTM,768086435,572034,571543,,50,,MAUSGEP,,1.2.2024 12:13 PM,1.2.2024 12:23 PM,0,TRANS,,,1148254852,33,1.2.2024 10:53 AM,LOADCALC,1,201 ,T01,1.2.2024 11:59 AM,1.2.2024 12:09 PM,1,,1.2.2024 10:53 AM,,2,,1.2.2024 11:59 AM,,1.2.2024 1:03 AM,,5,,,,GH  ,,,,,,,,,,,,35,
,,PTM,768086436,572034,571112,,50,,MAUSGEP,,1.2.2024 12:13 PM,1.2.2024 12:23 PM,0,TRANS,,,1148254852,15,1.2.2024 9:43 AM,LOADCALC,4,201 ,T01,1.2.2024 11:59 AM,1.2.2024 12:09 PM,1,,1.2.2024 9:43 AM,,2,,1.2.2024 11:59 AM,,1.2.2024 1:03 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,PTM,768086446,572034,571967,,60,,MAUSGEP,,1.2.2024 12:13 PM,1.2.2024 12:23 PM,0,TRANS,,,1148254852,15,1.2.2024 9:43 AM,LOADCALC,0,201 ,T01,1.2.2024 11:59 AM,1.2.2024 12:09 PM,1,,1.2.2024 9:43 AM,,2,,1.2.2024 11:59 AM,,1.2.2024 1:03 AM,,7,,,,GH  ,,,,,,,,,,,,0,
,,PTM,768086447,572034,571376,,50,,MAUSGEP,,1.2.2024 12:13 PM,1.2.2024 12:23 PM,0,TRANS,,,1148254852,71,1.2.2024 10:54 AM,LOADCALC,8,201 ,T01,1.2.2024 11:59 AM,1.2.2024 12:09 PM,1,,1.2.2024 10:54 AM,,2,,1.2.2024 11:59 AM,,1.2.2024 1:03 AM,,7,,,,GH  ,,,,,,,,,,,,99,
1.2.2024 10:09 AM,,PTM,768087108,571281,571400,,75,,MAUSGEP,,1.2.2024 9:58 AM,1.2.2024 10:08 AM,0,TRANS,,3641559302,,47,1.2.2024 10:09 AM,lvapps7;1704186567832,1,251B,T08,1.2.2024 9:36 AM,1.2.2024 9:46 AM,1,,1.2.2024 10:09 AM,,G,,1.2.2024 9:36 AM,,1.2.2024 2:52 AM,,7,,,,GH  ,,,,,,,,,,,,32,
